time_ms,motorA_rel_deg,motorA_abs_deg,motorB_rel_deg,motorB_abs_deg,motorC_rel_deg,motorC_abs_deg,yaw_deg,pitch_deg,roll_deg
0,0,1023,0,998,0,210,0.10,-0.04,0.03
50,1,1024,0,998,0,210,0.12,-0.03,0.02
100,0,1023,1,999,0,210,0.11,-0.04,0.01
150,0,1023,0,998,1,211,0.09,-0.05,0.02
200,1,1024,0,998,0,210,0.13,-0.03,0.01
250,0,1023,0,998,0,210,0.10,-0.04,0.02
300,0,1023,1,999,0,210,0.14,-0.03,0.02
350,1,1024,0,998,0,210,0.11,-0.04,0.01
400,0,1023,0,998,0,210,0.12,-0.03,0.02
450,0,1023,0,998,1,211,0.13,-0.04,0.03
500,0,1023,0,998,0,210,0.11,-0.03,0.02
550,0,1023,1,999,0,210,0.10,-0.04,0.01
600,2,1025,1,999,0,210,0.15,-0.03,0.01
650,5,1028,4,1002,0,210,0.18,-0.02,0.01
700,9,1032,8,1006,0,210,0.20,-0.03,0.02
750,14,1037,13,1011,0,210,0.22,-0.02,0.01
800,19,1042,18,1016,0,210,0.25,-0.02,0.01
850,24,1047,23,1021,0,210,0.28,-0.01,0.00
900,29,1052,28,1026,0,210,0.30,-0.02,0.01
950,34,1057,33,1031,0,210,0.33,-0.01,0.00
1000,39,1062,38,1036,0,210,0.35,-0.02,0.01
1050,44,1067,43,1041,0,210,0.37,-0.01,0.00
1100,49,1072,48,1046,0,210,0.38,-0.02,0.01
1150,54,1077,53,1051,0,210,0.40,-0.01,0.00
1200,59,1082,58,1056,0,210,0.42,-0.01,0.01
1250,64,1087,63,1061,0,210,0.45,-0.02,0.01
1300,69,1092,68,1066,0,210,0.48,-0.01,0.00
1350,74,1097,73,1071,0,210,0.50,-0.02,0.01
1400,79,1102,78,1076,0,210,0.55,-0.01,0.00
1450,84,1107,83,1081,0,210,0.60,-0.02,0.01
1500,89,1112,88,1086,0,210,1.10,-0.01,0.01
1550,94,1117,92,1090,0,210,1.90,-0.01,0.00
1600,99,1122,96,1094,0,210,2.80,0.00,0.01
1650,104,1127,100,1098,0,210,3.80,0.01,0.00
1700,109,1132,104,1102,0,210,4.90,0.00,0.01
1750,114,1137,108,1106,0,210,6.10,0.01,0.00
1800,119,1142,112,1110,0,210,7.30,0.01,0.00
1850,124,1147,116,1114,0,210,8.50,0.02,-0.01
1900,129,1152,120,1118,0,210,9.60,0.01,0.00
1950,134,1157,124,1122,0,210,10.70,0.01,0.00
2000,134,1157,124,1122,4,214,10.80,0.00,0.01
2050,134,1157,124,1122,9,219,10.75,0.01,0.02
2100,134,1157,124,1122,15,225,10.70,0.00,0.01
2150,134,1157,124,1122,22,232,10.65,0.01,0.01
2200,134,1157,124,1122,30,240,10.60,0.01,0.02
2250,134,1157,124,1122,37,247,10.55,0.00,0.01
2300,134,1157,124,1122,40,250,10.50,0.00,0.01
2350,139,1162,129,1127,41,251,10.40,0.01,0.00
2400,144,1167,134,1132,42,252,10.30,0.01,0.01
2450,149,1172,139,1137,42,252,10.20,0.01,0.00
2500,154,1177,144,1142,42,252,10.10,0.00,0.01
2550,159,1182,149,1147,43,253,10.00,0.01,0.00
2600,164,1187,154,1152,43,253,9.90,0.01,0.01
2650,169,1192,159,1157,43,253,9.80,0.00,0.01
2700,174,1197,164,1162,43,253,9.70,0.01,0.01
2750,179,1202,169,1167,43,253,9.60,0.01,0.00
2800,184,1207,174,1172,43,253,9.50,0.00,0.01
2850,184,1207,174,1172,43,253,9.40,0.00,0.01
2900,185,1208,175,1173,43,253,9.30,-0.01,0.01
2950,185,1208,175,1173,43,253,9.20,-0.01,0.01
